file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter5/section2/subsection3/18_is_register_exp0.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/19_make_operation_exp.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/20_is_register_exp.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/21_lookup_prim.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection4/01.scm	scheme	ok	ok	ok	ok	
chapter5/section3/subsection1/01_count_leaves_5_3_1.scm	scheme	ok	ok	ok	ok	
chapter5/section3/subsection1/02_count_leaves_5_3_1_iter.scm	scheme	ok	ok	ok	ok	
chapter5/section3/subsection2/01_testing_5_3_2.scm	fragment	1	1	-	-	false
chapter5/section4/subsection4/01_eceval.scm	scheme	ok	ok	ok	ok	
chapter5/section4/subsection4/02_eceval_controller.scm	scheme	ok	ok	ok	ok	
chapter5/section4/subsection4/03_prompt_for_input.scm	scheme	ok	ok	ok	ok	
chapter5/section4/subsection4/04_eceval_operations.scm	scheme	ok	ok	ok	ok	
chapter5/section4/subsection4/05_ec_eval_all.scm	fragment	1	1	-	-	
chapter5/section5/subsection6/01.scm	scheme	ok	ok	ok	ok	
chapter5/section5/subsection6/02.scm	scheme	ok	ok	ok	ok	
chapter5/section5/subsection6/03.scm	fragment	1	1	-	-	
chapter5/section5/subsection6/04.scm	fragment	1	1	-	-	
chapter5/section5/subsection6/05.scm	fragment	1	1	-	-	
chapter5/section5/subsection7/01_compile_and_go_example.scm	fragment	1	1	-	-	caddr,false,true
chapter5/section5/subsection7/02_start_eceval.scm	fragment	1	1	-	-	caddr,false,true
chapter5/section5/subsection7/03_display_instructions.scm	scheme	ok	ok	ok	ok	
chapter5/section5/subsection7/04_eceval_2.scm	scheme	ok	ok	ok	ok	
chapter5/section5/subsection7/05_compile_and_go.scm	fragment	1	1	-	-	caddr,false,true
chapter5/section5/subsection7/06.scm	scheme	ok	ok	ok	ok	
chapter5/section5/subsection7/07.scm	fragment	1	1	-	-	
